yyyy-mm-ddTHH:MM:SSZ, OL_31.5, OL_63, OL_125, OL_250, OL_500, OL_1k, OL_2k, OL_4k, OL_8k, OL_16k, OL_32k, 
2018-11-07T01:00:02Z,108.999389,92.785603,88.449199,85.200702,87.665492,91.993808,102.530724,112.108169,114.553435,112.235457,109.146922, 
2018-11-07T02:00:02Z,107.904921,92.126833,87.677408,88.465018,88.090907,91.494542,101.933912,111.593124,114.470693,112.258347,109.379772, 
2018-11-07T03:00:02Z,108.727957,93.717297,88.881084,84.36591,84.783562,90.088727,101.20261,110.79002,113.849317,111.774835,109.110522, 
2018-11-07T04:00:02Z,108.552263,93.079086,88.088962,84.045586,83.688857,89.534292,101.152656,110.889708,114.02,111.882417,109.15999, 
2018-11-07T05:00:02Z,107.952705,93.295384,88.877567,83.436799,83.219609,89.594663,101.600619,111.079047,114.182357,112.032366,109.315572, 
2018-11-07T06:00:02Z,110.312813,95.564683,90.803377,83.107028,83.384607,90.19298,101.998148,111.548635,114.512689,112.465462,109.753617, 
2018-11-07T07:00:02Z,108.407304,94.258278,90.520261,86.292926,83.876997,89.410526,101.177158,110.887451,114.076421,111.881994,109.105848, 
2018-11-07T08:00:02Z,108.211528,94.118843,88.760621,83.799756,83.971332,89.522697,101.614978,111.179753,114.021586,111.923166,109.097081, 
2018-11-07T09:00:02Z,110.494945,94.913145,90.449405,85.815797,83.284358,89.207787,101.555783,111.11561,113.980511,111.951724,108.959282, 
2018-11-07T10:00:02Z,111.349294,94.914541,88.947577,83.343014,82.613569,88.704493,101.219502,111.027898,113.796253,111.88,109.121628, 
2018-11-07T11:00:02Z,112.920885,96.149011,90.235643,84.525227,82.626364,88.846421,101.282767,111.277402,114.086242,111.887112,109.17252, 
2018-11-07T12:00:02Z,112.132133,95.848838,90.941356,83.851508,83.126401,90.103968,102.455507,112.201279,114.984489,112.914268,110.090392, 
2018-11-07T13:00:02Z,110.394393,94.921289,89.253644,83.170701,82.864142,90.414777,102.855461,112.688026,115.399773,113.086362,110.241402, 
2018-11-07T14:00:02Z,116.224696,96.335399,90.596711,93.317282,90.436648,92.687749,103.030069,112.740474,115.084149,112.301295,109.268782, 
2018-11-07T15:00:02Z,108.097705,94.377583,87.844731,82.109092,82.57458,89.500836,101.080333,110.737762,113.086244,110.271889,107.072938, 
2018-11-07T16:00:02Z,103.56173,89.728009,90.008265,91.756466,91.333429,92.296937,100.557766,109.955753,112.26351,109.460829,106.214328, 
2018-11-07T17:00:02Z,102.327174,90.088078,87.612519,93.131707,86.57709,91.197663,102.124761,110.017717,112.085133,109.26426,106.019026, 
2018-11-07T18:00:02Z,109.912517,92.661692,86.749214,81.737874,81.805205,88.517017,99.994016,109.089309,111.312196,108.750349,105.510179, 
2018-11-07T19:00:02Z,109.770238,100.74461,97.956827,91.541127,86.213037,87.989654,98.950433,108.221218,110.462314,107.917718,104.56087, 
2018-11-07T20:00:02Z,110.584043,96.485994,89.784525,82.024006,82.196262,87.887066,98.957233,108.396217,110.722696,107.992206,104.623714, 
2018-11-07T21:00:02Z,111.395457,97.181448,90.524747,87.351168,86.06917,88.327333,99.009544,108.430223,110.594333,107.917569,104.707427, 
2018-11-07T22:00:02Z,112.90836,97.671806,100.982981,107.925252,99.923403,102.722897,105.46577,111.445239,112.165652,109.711205,106.388769, 
2018-11-07T23:00:02Z,109.120639,94.246323,89.136037,83.227122,84.786827,89.565089,99.842392,109.322709,111.400542,108.467506,105.317623, 
