yyyy-mm-ddTHH:MM:SSZ, BB_0.02-24k, 
2018-11-16T08:57:32.000Z,119.470444, 
2018-11-16T09:57:32.000Z,120.264084, 
2018-11-16T10:57:32.000Z,119.66378, 
2018-11-16T11:57:30.000Z,120.180954, 
2018-11-16T12:57:30.000Z,120.726723, 
2018-11-16T13:57:30.000Z,120.855797, 
2018-11-16T14:57:29.000Z,119.497017, 
2018-11-16T15:57:29.000Z,119.424355, 
2018-11-16T16:57:29.000Z,118.724586, 
2018-11-16T17:57:28.000Z,120.040825, 
2018-11-16T18:57:28.000Z,118.767403, 
2018-11-16T19:57:28.000Z,118.873894, 
2018-11-16T20:57:27.000Z,118.42646, 
2018-11-16T21:57:27.000Z,118.753883, 
2018-11-16T22:57:27.000Z,119.289955, 
2018-11-16T23:57:25.000Z,119.410217, 
2018-11-17T00:57:25.000Z,120.784019, 
2018-11-17T01:57:25.000Z,120.264977, 
2018-11-17T02:57:24.000Z,119.85598, 
2018-11-17T03:57:24.000Z,119.960358, 
2018-11-17T04:57:24.000Z,119.587601, 
2018-11-17T05:57:23.000Z,119.302338, 
2018-11-17T06:57:23.000Z,119.784836, 
2018-11-17T07:57:23.000Z,119.562553, 
2018-11-17T08:57:22.000Z,119.141838, 
2018-11-17T09:57:22.000Z,119.046768, 
2018-11-17T10:57:22.000Z,119.06385, 
2018-11-17T11:57:21.000Z,119.25618, 
2018-11-17T12:57:21.000Z,120.357231, 
2018-11-17T13:57:21.000Z,120.641869, 
2018-11-17T14:57:19.000Z,118.330719, 
2018-11-17T15:57:19.000Z,118.153831, 
2018-11-17T16:57:19.000Z,117.243851, 
2018-11-17T17:57:18.000Z,117.127747, 
2018-11-17T18:57:18.000Z,116.516876, 
2018-11-17T19:57:18.000Z,116.422287, 
2018-11-17T20:57:17.000Z,116.638054, 
2018-11-17T21:57:17.000Z,121.086739, 
2018-11-17T22:57:17.000Z,116.778915, 
2018-11-17T23:57:16.000Z,120.809196, 
2018-11-18T00:57:16.000Z,119.643028, 
2018-11-18T01:57:16.000Z,119.109489, 
2018-11-18T02:57:14.000Z,118.302902, 
2018-11-18T03:57:14.000Z,117.888306, 
2018-11-18T04:57:14.000Z,117.748398, 
2018-11-18T05:57:13.000Z,118.087624, 
2018-11-18T06:57:13.000Z,118.344887, 
2018-11-18T07:57:13.000Z,118.583138, 
2018-11-18T08:57:12.000Z,118.424576, 
2018-11-18T09:57:12.000Z,117.529358, 
